Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts,Position
Rajasthan Royals RR,14,11,3,0,0,0.632,"2,245/261.1","2,153/270.2",22,1
Kings XI Punjab KXIP,14,10,4,0,0,0.509,"2,352/259.5","2,271/265.5",20,2
Chennai Super Kings CSK,14,8,6,0,0,-0.192,"2,241/264.2","2,195/253.1",16,3
Delhi Capitals DC,14,7,6,0,1,0.342,"2,001/233.2","2,031/246.4",15,4
Mumbai Indians MI,14,7,7,0,0,0.57,"2,080/249.1","2,096/269.3",14,5
Kolkata Knight Riders KKR,14,6,7,0,1,-0.147,"1,845/242.4","1,718/221.4",13,6
Royal Challengers Bangalore RCB,14,4,10,0,0,-1.16,"1,983/272.4","2,205/261.3",8,7
Deccan Chargers DEC,14,2,12,0,0,-0.467,"2,229/270","2,307/264.3",4,8
Delhi Capitals DC,14,10,4,0,0,0.311,"1,978/255.2","1,953/262.4",20,1
Chennai Super Kings CSK,14,8,5,0,1,0.951,"2,086/255.3","1,855/257.1",17,2
Royal Challengers Bangalore RCB,14,8,6,0,0,-0.191,"1,994/276","2,027/273.2",16,3
Deccan Chargers DEC,14,7,7,0,0,0.203,"2,111/272.4","2,097/278.1",14,4
Kings XI Punjab KXIP,14,7,7,0,0,-0.483,"1,787/251.2","1,887/248.3",14,5
Rajasthan Royals RR,14,6,7,0,1,-0.352,"1,688/253.1","1,810/257.5",13,6
Mumbai Indians MI,14,5,8,0,1,0.297,"1,897/256.2","1,802/253.4",11,7
Kolkata Knight Riders KKR,14,3,10,0,1,-0.789,"1,757/248.5","1,867/237.5",7,8
Mumbai Indians MI,14,10,4,0,0,1.084,"2,408/277","2,100/276",20,1
Deccan Chargers DEC,14,8,6,0,0,-0.297,"2,188/277.4","2,254/275.4",16,2
Chennai Super Kings CSK,14,7,7,0,0,0.274,"2,285/271.1","2,257/276.5",14,3
Royal Challengers Bangalore RCB,14,7,7,0,0,0.219,"2,166/260.4","2,245/277.3",14,4
Delhi Capitals DC,14,7,7,0,0,0.021,"2,155/275.4","2,166/277.5",14,5
Kolkata Knight Riders KKR,14,7,7,0,0,-0.341,"2,144/273","2,192/267.3",14,6
Rajasthan Royals RR,14,6,8,0,0,-0.514,"2,179/270.4","2,224/259.4",12,7
Kings XI Punjab KXIP,14,4,10,0,0,-0.478,"2,278/276.2","2,365/271.1",8,8
Royal Challengers Bangalore RCB,14,9,4,0,1,0.326,"1,962/237","2,000/251.3",19,1
Chennai Super Kings CSK,14,9,5,0,0,0.443,"2,118/265.1","1,978/262.1",18,2
Mumbai Indians MI,14,9,5,0,0,0.04,"1,998/275.2","1,951/270.2",18,3
Kolkata Knight Riders KKR,14,8,6,0,0,0.433,"1,888/249.2","1,861/260.4",16,4
Kings XI Punjab KXIP,14,7,7,0,0,-0.051,"2,224/275.4","2,173/267.4",14,5
Rajasthan Royals RR,14,6,7,0,1,-0.691,"1,687/242.2","1,801/235.2",13,6
Deccan Chargers DEC,14,6,8,0,0,0.222,"2,140/279.2","2,037/273.5",12,7
Kochi Tuskers Kerala KTK,14,6,8,0,0,-0.214,"1,901/256.2","1,989/260.4",12,8
Pune Warriors India PWI,14,4,9,0,1,-0.134,"1,775/247.3","1,858/254.2",9,9
Delhi Capitals DC,14,4,9,0,1,-0.448,"2,031/258.2","2,076/249.5",9,10
Delhi Capitals DC,16,11,5,0,0,0.617,"2,365/283.5","2,361/306",22,1
Kolkata Knight Riders KKR,16,10,5,0,1,0.561,"2,150/285.1","2,032/291.1",21,2
Mumbai Indians MI,16,10,6,0,0,-0.1,"2,313/312.3","2,343/312.2",20,3
Chennai Super Kings CSK,16,8,7,0,1,0.1,"2,232/293.3","2,144/285.4",17,4
Royal Challengers Bangalore RCB,16,8,7,0,1,-0.022,"2,472/296.2","2,505/299.3",17,5
Kings XI Punjab KXIP,16,8,8,0,0,-0.216,"2,390/313.3","2,455/313.1",16,6
Rajasthan Royals RR,16,7,9,0,0,0.201,"2,516/316","2,402/309.3",14,7
Deccan Chargers DEC,16,4,11,0,1,-0.509,"2,312/298.4","2,405/291.3",9,8
Pune Warriors India PWI,16,4,12,0,0,-0.551,"2,321/319.2","2,424/310",8,9
Chennai Super Kings CSK,16,11,5,0,0,0.53,"2,461/303.5","2,310/305.1",22,1
Mumbai Indians MI,16,11,5,0,0,0.441,"2,514/318.1","2,350/315",22,2
Rajasthan Royals RR,16,10,6,0,0,0.322,"2,405/310.5","2,326/313.4",20,3
Sunrisers Hyderabad SRH,16,10,6,0,0,0.003,"2,166/308.5","2,206/314.4",20,4
Royal Challengers Bangalore RCB,16,9,7,0,0,0.457,"2,571/301","2,451/303.1",18,5
Kings XI Punjab KXIP,16,8,8,0,0,0.226,"2,428/305.2","2,417/312.5",16,6
Kolkata Knight Riders KKR,16,6,10,0,0,-0.095,"2,290/313.4","2,316/313.1",12,7
Pune Warriors India PWI,16,4,12,0,0,-1.006,"2,262/318.4","2,519/310.5",8,8
Delhi Capitals DC,16,3,13,0,0,-0.848,"2,234/314.5","2,436/306.4",6,9
Kings XI Punjab KXIP,14,11,3,0,0,0.968,"2,427/268.3","2,229/276.1",22,1
Kolkata Knight Riders KKR,14,9,5,0,0,0.418,"2,125/264","2,110/276.3",18,2
Chennai Super Kings CSK,14,9,5,0,0,0.385,"2,272/272","2,178/273.2",18,3
Mumbai Indians MI,14,7,7,0,0,0.095,"2,180/271.3","2,170/273.3",14,4
Rajasthan Royals RR,14,7,7,0,0,0.06,"2,155/269.5","2,164/273",14,5
Sunrisers Hyderabad SRH,14,6,8,0,0,-0.399,"2,102/263.4","2,136/255.1",12,6
Royal Challengers Bangalore RCB,14,5,9,0,0,-0.428,"2,093/273.5","2,163/268",10,7
Delhi Capitals DC,14,2,12,0,0,-1.182,"1,980/263.2","2,184/251",4,8
Chennai Super Kings CSK,14,9,5,0,0,0.709,"2,262/273.3","2,073/274.1",18,1
Mumbai Indians MI,14,8,6,0,0,-0.043,"2,345/272.4","2,371/274.2",16,2
Royal Challengers Bangalore RCB,14,7,5,0,2,1.037,"1,790/191.1","1,693/203.2",16,3
Rajasthan Royals RR,14,7,5,0,2,0.062,"2,028/237.3","2,002/236.1",16,4
Kolkata Knight Riders KKR,14,7,6,0,1,0.253,"2,044/236.1","2,022/240.4",15,5
Sunrisers Hyderabad SRH,14,7,7,0,0,-0.239,"2,096/255.2","2,126/251.4",14,6
Delhi Capitals DC,14,5,8,0,1,-0.049,"1,981/250.2","1,976/248.1",11,7
Kings XI Punjab KXIP,14,3,11,0,0,-1.436,"2,003/270","2,286/258.1",6,8
Gujarat Lions GL,14,9,5,0,0,-0.374,"2,130/264.3","2,285/271.1",18,1
Royal Challengers Bangalore RCB,14,8,6,0,0,0.932,"2,613/270.2","2,345/268.3",16,2
Sunrisers Hyderabad SRH,14,8,6,0,0,0.245,"2,082/259.5","2,078/267.3",16,3
Kolkata Knight Riders KKR,14,8,6,0,0,0.106,"2,123/253.2","2,121/256.2",16,4
Mumbai Indians MI,14,7,7,0,0,-0.146,"2,194/272.2","2,190/267",14,5
Delhi Capitals DC,14,7,7,0,0,-0.155,"2,040/259.1","2,107/262.3",14,6
Rising Pune Supergiant RPS,14,5,9,0,0,0.015,"2,025/244.5","1,991/241.1",10,7
Kings XI Punjab KXIP,14,4,10,0,0,-0.646,"2,134/269.4","2,224/259.5",8,8
Mumbai Indians MI,14,10,4,0,0,0.784,"2,407/272.1","2,242/278.1",20,1
Rising Pune Supergiant RPS,14,9,5,0,0,0.176,"2,180/271","2,165/275.1",18,2
Sunrisers Hyderabad SRH,14,8,5,0,1,0.599,"2,221/252","2,118/257.5",17,3
Kolkata Knight Riders KKR,14,8,6,0,0,0.641,"2,329/260.5","2,300/277.3",16,4
Kings XI Punjab KXIP,14,7,7,0,0,-0.009,"2,207/261.2","2,229/263.4",14,5
Delhi Capitals DC,14,6,8,0,0,-0.512,"2,219/276.2","2,255/264",12,6
Gujarat Lions GL,14,4,10,0,0,-0.412,"2,406/269.5","2,472/265",8,7
Royal Challengers Bangalore RCB,14,3,10,0,1,-1.299,"1,845/260","2,033/242.1",7,8
